Index,Part1,Part2,Part3,Part4,Formatted Question,Question Type_new,All_Correct_Answers,Option 1,Option 2,Option 3,Option 4,Option 5
321,सत्यवादिता,मिथ्यावादी,निष्ठा,विश्वासघाती,सत्यवादिता : मिथ्यावादी :: निष्ठा : ?,1,विश्वासघाती,वफादार,कर्मिष्ठ,विश्वासघाती,श्रमिक,
322,मंगल,पृथ्वी,बुध,शुक्र,मंगल : पृथ्वी :: बुध : ?,1,शुक्र,सूर्य,चन्द्रमा,तारा,शुक्र,
323,मोम,ग्रीस,दूध,घी,मोम : ग्रीस :: दूध : ?,1,घी,दही,घी,पेय,प्रोटीन,
324,किसान,अनाज,कवि,कविता,किसान : अनाज :: कवि : ?,1,कविता,कविता,भाषण,जंगल,पुस्तक,
325,कायर,बहादुर,ईमानदार,बेईमान,कायर : बहादुर :: ईमानदार : ?,1,बेईमान,आडम्बरहीन,प्रसन्न,बेईमान,सुन्दर,
326,हवा,पंखा,रोशनी,बल्ब,हवा : पंखा :: रोशनी : ?,1,बल्ब,दिया,सूर्य,लालटेन,बल्ब,
327,15 अगस्त,लालकिला,26 जनवरी,इंडिया गेट,15 अगस्त : लालकिला :: 26 जनवरी : ?,1,इंडिया गेट,पुराना किला,इंडिया गेट,गेटवे ऑफ इंडिया,चारमीनार,
328,गंगा,दामोदर,सिंधु,सतलज,गंगा : दामोदर :: सिंधु : ?,1,सतलज,नदी,झरना,पहाड़,सतलज,
329,घसीट मारना,लिखना,हकलाना,बोलना,घसीट मारना : लिखना :: हकलाना : ?,1,बोलना,चलना,खेलना,बोलना,नाचना,
330,तहसील,जिला,प्रान्त,देश,तहसील : जिला :: प्रान्त : ?,1,देश,देश,गाँव,जिले,तहसील,
331,गलफड़ा,मछली,मानव,फेफड़ा,गलफड़ा : मछली :: मानव : ?,1,फेफड़ा,कान,आंख,फेफड़ा,नाक,
332,ग्रे बुक,ब्लू बुक,ऑरेंज बुक,सरकारी दस्तावेज,ग्रे बुक : ब्लू बुक :: ऑरेंज बुक : ?,1,सरकारी दस्तावेज,पुस्तक,रेड बुक,सरकारी दस्तावेज,येलो बुक,
333,दूध,गाय,शहद,मधुमक्खी,दूध : गाय :: शहद : ?,1,मधुमक्खी,चाशनी,मधुमक्खी,चीनी,भंवरा,
334,स्वच्छता,स्नान,आराम,बिस्तर,स्वच्छता : स्नान :: आराम : ?,1,बिस्तर,घर,बिस्तर,स्नान,निरोग,
335,प्राणसंचरण,जीवन,जीवित,विद्यमान होना/अस्तित्व रखना,प्राणसंचरण : जीवन :: जीवित : ?,1,विद्यमान होना/अस्तित्व रखना,नश्वरता/मरणशीलता/घातकता,क्रियाशील होना,विद्यमान होना/अस्तित्व रखना,जीवनशक्ति,
336,कठिन,असंभव,दरार,गिरना,कठिन : असंभव :: दरार : ?,1,गिरना,व्यर्थ,गिरना,मरम्मत,पानी,
337,कूंची,पेन्ट,बेलचा,पलटना,कूंची : पेन्ट :: बेलचा : ?,1,पलटना,पलटना,तेल,पानी,ईंट,
338,मोटर कार,गैरेज,हवाई जहाज,हैंगर,मोटर कार : गैरेज :: हवाई जहाज : ?,1,हैंगर,हवाई मैदान,हैंगर,हवाई अड्डा,रनवे,
339,चिड़िया,मछली,हवाई जहाज,जहाज,चिड़िया : मछली :: हवाई जहाज : ?,1,जहाज,हवा,कार,पानी,जहाज,
340,धागा,कपड़ा,तार,जाली,धागा : कपड़ा :: तार : ?,1,जाली,रस्सी,जाली,छलनी,टेलीग्राफ,
341,पनीर,दूध,चीनी,गन्ना,पनीर : दूध :: चीनी : ?,1,गन्ना,गन्ना,खजूर,ताड़,नारियल,
342,आकाश,तारे,समुद्र,टापू,आकाश : तारे :: समुद्र : ?,1,टापू,जहाज,महाद्वीप,टापू,जल,
343,वर्षा,छतरी,धूप,चश्मा,वर्षा : छतरी :: धूप : ?,1,चश्मा,छाया,चश्मा,कूलर,रोशनी,
344,मोती,हार,फूल,गुलदस्ता,मोती : हार :: फूल : ?,1,गुलदस्ता,बाग,पौधा,पंखुड़ी,गुलदस्ता,
345,बर्फ,भाप,ठंडा,गरम,बर्फ : भाप :: ठंडा : ?,1,गरम,पानी,हिम,गरम,आग,
346,शरीर,चेहरा,कमरा,दरवाजा,शरीर : चेहरा :: कमरा : ?,1,दरवाजा,सोफा,कालीन,दरवाजा,लैंप,
347,गाड़ी,घोड़ा,रेल,इंजन,गाड़ी : घोड़ा :: रेल : ?,1,इंजन,पटरी,स्टेशन,बिजली,इंजन,
348,प्रतिष्ठा,बदनामी,यश,अपयश,प्रतिष्ठा : बदनामी :: यश : ?,1,अपयश,श्रेष्ठता,यशस्वी,अपयश,धनवान,
349,रोगी,फाउलर बेड,बच्चा,पालना,रोगी : फाउलर बेड :: बच्चा : ?,1,पालना,झूला,पालना,डबल बेड,आराम,
350,धनुष,बाण,पिस्तौल,बुलेट,धनुष : बाण :: पिस्तौल : ?,1,बुलेट,बंदूक,गोली मारना,बुलेट,राइफल,
351,नॉटिकल,मछली,चैती पक्षी,बत्तख,नॉटिकल : मछली :: चैती पक्षी : ?,1,बत्तख,निम्न में से कोई नहीं,बत्तख,कबूतर,डॉल्फिन,
352,नदी,धारा,महासागर,प्रवाह,नदी : धारा :: महासागर : ?,1,प्रवाह,समुद्र,प्रवाह,तालाब,बांध,
353,भविष्यवाणी,भविष्य,खेद,अतीत,भविष्यवाणी : भविष्य :: खेद : ?,1,अतीत,अतीत,समय,वर्तमान,अपराध,
354,छत्ता,मधुमक्खी,ऊंचा नीड़,गरुड़,छत्ता : मधुमक्खी :: ऊंचा नीड़ : ?,1,गरुड़,चिड़िया,गरुड़,कबूतर,तोता,
355,रंग,लाल,भाषा,अंग्रेजी,रंग : लाल :: भाषा : ?,1,अंग्रेजी,भाषा संबंधी,अंग्रेजी,व्याकरण,इतिहास,
356,सचिन तेंदुलकर,क्रिकेट,सानिया मिर्जा,टेनिस,सचिन तेंदुलकर : क्रिकेट :: सानिया मिर्जा : ?,1,टेनिस,बॉक्सिंग,शिक्षा,टेनिस,हॉकी,
357,पोशाक,दर्जी,बढ़ई,फर्नीचर,पोशाक : दर्जी :: बढ़ई : ?,1,फर्नीचर,लकड़ी,चमड़ा,फर्नीचर,कपड़ा,
358,विरोधी,शत्रु,विपत्ति,कठिनाई,विरोधी : शत्रु :: विपत्ति : ?,1,कठिनाई,कठिनाई,सक्रिय,मित्र,प्रेम,
359,वानर,बड़बड़ाना,ऊँट,घुराघुर,वानर : बड़बड़ाना :: ऊँट : ?,1,घुराघुर,कराहना,तुच्छ,घुराघुर,मिमियाहट,
360,ऊष्मा,कैलोरी,ध्वनि,डेसीबल,ऊष्मा : कैलोरी :: ध्वनि : ?,1,डेसीबल,डेसीबल,रिएक्टर,वाट,जुल,
361,जीवाश्म विज्ञान,जीवाश्म,कपाल विज्ञान,खोपड़ी,जीवाश्म विज्ञान : जीवाश्म :: कपाल विज्ञान : ?,1,खोपड़ी,खोपड़ी,अग्न्याशय,थायरॉइड,फेफड़े,
362,पोशाक,दर्जी,बढ़ई,फर्नीचर,पोशाक : दर्जी :: बढ़ई : ?,1,फर्नीचर,कपड़ा,फर्नीचर,चमड़ा,लकड़ी,
363,मां,संतान,पेड़,फल,मां : संतान :: पेड़ : ?,1,फल,जड़,फल,पौधा,तना,
364,शेर,मांस,गाय,घास,शेर : मांस :: गाय : ?,1,घास,पशु,मांस,घास,,
365,उड़ना,बर्ड,रेंगना,घोंघा,उड़ना : बर्ड :: रेंगना : ?,1,घोंघा,जमीन,घोंघा,वायुयान,फूल,
366,कोर्ट,न्याय,स्कूल,शिक्षा,कोर्ट : न्याय :: स्कूल : ?,1,शिक्षा,छात्र,शिक्षा,शिक्षक,निम्न में से कोई नहीं,
367,कलम,लेखक,तलवार,योध्या,कलम : लेखक :: तलवार : ?,1,योध्या,बड़ई,किसान,योध्या,दर्जी,
368,रेस,थकान,उपवास,भूख,रेस : थकान :: उपवास : ?,1,भूख,ऊर्जा,रोग,नींद,भूख,
369,लोहा,ठोस,पारा,द्रव,लोहा : ठोस :: पारा : ?,1,द्रव,ठोस,निम्न में से कोई नहीं,द्रव,गैस,
370,डॉक्टर,अस्पताल,शिक्षक,स्कूल,डॉक्टर : अस्पताल :: शिक्षक : ?,1,स्कूल,घर,फील्ड,स्कूल,कार्यकाल,
371,मोमाबती,मोम,कागज,पल्प,मोमाबती : मोम :: कागज : ?,1,पल्प,पल्प,पेड़,बॉस,लकड़ी,
372,तैरना,मछली,रेंगना,सांप,तैरना : मछली :: रेंगना : ?,1,सांप,खरगोश,सेर,सांप,कुत्ता,
373,अच्छा,बुरा,छत,फर्श,अच्छा : बुरा :: छत : ?,1,फर्श,खंबा,दीवार,खिड़की,फर्श,
374,लाल किला,दिल्ली,स्वर्ण मंदिर,अमृतसर,लाल किला : दिल्ली :: स्वर्ण मंदिर : ?,1,अमृतसर,आगरा,जयपुर,अमृतसर,जामा मस्जिद,
375,जीवन,मृत्यु,रोना,हंसना,जीवन : मृत्यु :: रोना : ?,1,हंसना,दू:ख,खुशी,हर्ष,हंसना,
376,कलम,लेखक,बल्ला,बल्लेबाजी,कलम : लेखक :: बल्ला : ?,1,बल्लेबाजी,स्टिक,बल्लेबाजी,ब्रश,सेनानी,
377,घड़ी,टाइम,थर्मामीटर,तापमान,घड़ी : टाइम :: थर्मामीटर : ?,1,तापमान,हिट,ऊर्जा,निम्न में से कोई नहीं,तापमान,
378,घंटा,सेकंड,तृतीयक,प्राथमिक,घंटा : सेकंड :: तृतीयक : ?,1,प्राथमिक,निम्न में से कोई नहीं,साधारण,मध्यवर्ती,प्राथमिक,
379,सम्पादक,समाचार-पत्र,लेखक,उपन्यास,सम्पादक : समाचार-पत्र :: लेखक : ?,2,उपन्यास,भट्टी,पत्रकार,बढ़ई,उपन्यास,
380,सुरक्षित,निरापद,रक्षा,चौकसी करना,सुरक्षित : निरापद :: रक्षा : ?,1,चौकसी करना,चौकसी करना,पाशिता करना,परिरक्षित करना,निश्चित करना,
381,रक्तहीनता,रक्त,अराजकता,सरकार,रक्तहीनता : रक्त :: अराजकता : ?,1,सरकार,सरकार,राजतंत्र,अव्यवस्था,गड़बड़ी,
382,पढ़ना,ज्ञान,कार्य,अनुभव,पढ़ना : ज्ञान :: कार्य : ?,1,अनुभव,नैकरी,प्रेयोगा,नियुक्ति,अनुभव,
383,सिपाही,रेजीमेंट,घोड़ा,झुंड,सिपाही : रेजीमेंट :: घोड़ा : ?,1,झुंड,बेड़ा,झुंड,नौसेना,अश्वारोही सेना,
384,शोक,आनंद,सुख,दुःख,शोक : आनंद :: सुख : ?,1,दुःख,दुःख,क्रोध,हंसना,खुशी,
385,फोटो,फिल्म,फोटोस्टेट,कागज,फोटो : फिल्म :: फोटोस्टेट : ?,1,कागज,फोटोग्राफी कागज,विद्युत,विल्टता,कागज,
386,स्वपन,वास्तविकता,झूठ,सत्य,स्वपन : वास्तविकता :: झूठ : ?,1,सत्य,निष्पक्षता,सत्य,औचित्य,असत्य,
387,मकान,किराया,पंजी,ब्याज,मकान : किराया :: पंजी : ?,1,ब्याज,देश,निवेश,ब्याज,धन,
388,धुंआ,प्रदूषण,युद्ध,विनाश,धुंआ : प्रदूषण :: युद्ध : ?,1,विनाश,विनाश,विजय,संधि,,
389,चिकित्सक,उपचार,न्यायधीश,निर्णय,चिकित्सक : उपचार :: न्यायधीश : ?,1,निर्णय,वकील,अदालत,दंड,निर्णय,
390,मरुधान,मरुस्थल,सागर,द्वीप,मरुधान : मरुस्थल :: सागर : ?,1,द्वीप,भृगु,द्वीप,प्रायद्वीप,पश्चाजल,
391,डॉक्टर,स्टेथोस्कॉप,मूर्तिकार,छेनी,डॉक्टर : स्टेथोस्कॉप :: मूर्तिकार : ?,1,छेनी,गंडासा,छेनी,खुरपा,,
392,पश्चिम,उत्तर-पूर्व,दक्षिण,उत्तर - पश्चिम,पश्चिम : उत्तर-पूर्व :: दक्षिण : ?,1,उत्तर - पश्चिम,उत्तर - पश्चिम,उत्तर,दक्षिण -पूर्व,पूर्व,
393,‘जहाज’,‘कप्तान’,सम्बन्धित,सम्पादक,‘जहाज’ : ‘कप्तान’ :: सम्बन्धित : ?,1,सम्पादक,प्रकाशक,मुद्रक,पाठक,सम्पादक,
394,मां,संतान,पेड़,पौधा,मां : संतान :: पेड़ : ?,1,पौधा,पौधा,फल,जड़,तना,इनमें से कोई नहीं
395,दिन,कैलेन्डर,समय,घड़ी,दिन : कैलेन्डर :: समय : ?,1,घड़ी,दिन,घंटा,सूर्य,घड़ी,इनमें से कोई नहीं ।
396,प्रशिक्षक,खिलाड़ी,शिक्षक,विद्यार्थी,प्रशिक्षक : खिलाड़ी :: शिक्षक : ?,1,विद्यार्थी,टीम.,विद्यार्थी,खेलकूद,खेल,इनमें से कोई नहीं |
397,सेब,फल,गेंद,फुल,सेब : फल :: गेंद : ?,1,फुल,फल,फुल,बीज,तना,इनमें से कोई नहीं
398,पैराग्राफ,वाक्य,वाक्य,इनमें से कोई नहीं,पैराग्राफ : वाक्य :: वाक्य : ?,1,इनमें से कोई नहीं,पैराग्राफ,यइप,लिखना,अक्षर,इनमें से कोई नहीं
399,दूध,मक्खन,लकड़ी,कागज,दूध : मक्खन :: लकड़ी : ?,2,कागज,फल,स्वास्थ्य,कागज,मसाले,
400,हैट,शीर्ष परिधान,दस्ताना,हाथ,हैट : शीर्ष परिधान :: दस्ताना : ?,2,हाथ,मछली,कछुआ,जुराबे,हाथ,
401,घोड़ा,गाय,गुलाबी,नीला,घोड़ा : गाय :: गुलाबी : ?,2,नीला,आइसक्रीम,चन्द्रमा,जल,नीला,
402,बाल,सिर,दाँत,मुँह,बाल : सिर :: दाँत : ?,2,मुँह,मुँह,पर्वत ढलान,बाँह,सड़क,
403,इंद्रधनुष,आकाश,मृगतृष्णा,मरुस्थल,इंद्रधनुष : आकाश :: मृगतृष्णा : ?,2,मरुस्थल,पृथ्वी,अंधकार,मरुस्थल,पर्वत,वर्षा
404,हिम्,शीतलता,पृथ्वी,भार,हिम् : शीतलता :: पृथ्वी : ?,1,भार,वन,भार,गुरुत्वाकर्षण,महासागर,
405,नारियल,खोल,पत्र,लिफाफा,नारियल : खोल :: पत्र : ?,1,लिफाफा,डाक,लेटर - बॉक्स,डाक टिकट,लिफाफा,
